measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,945.1406,194.771,527.2344,1269.2344,2223.3003,67194
microtubule,2,3,1124.4688,215.7083,728.2344,1581.2344,2603.0487,78671
microtubule,3,3,1529.125,330.3575,918.2344,2181.2344,3459.9561,104569
microtubule,1,1,84.5469,20.3376,33.0156,135.0156,428.8838,12962
microtubule,2,1,89.0312,22.3276,54.0156,150.0156,438.38,13249
microtubule,3,1,129.7969,32.2911,80.0156,248.0156,524.706,15858
microtubule,1,2,701.7031,125.8019,361.2656,975.2656,1707.7265,51612
microtubule,2,2,1096.5312,215.5805,725.2656,1624.2656,2543.8216,76881
microtubule,3,2,1215.8125,351.5103,546.2656,2080.2656,2796.4137,84515
cytoplasm,1,3,255.8906,55.7202,153.2344,371.2344,763.7321,23082
cytoplasm,2,3,215.3438,43.9943,150.2344,341.2344,677.8693,20487
cytoplasm,3,3,246.6094,51.8302,151.2344,359.2344,744.078,22488
cytoplasm,1,1,158.0625,31.1257,99.0156,248.0156,584.5618,17667
cytoplasm,2,1,158.7812,29.9045,93.0156,231.0156,586.0838,17713
cytoplasm,3,1,161,37.1917,95.0156,265.0156,590.7823,17855
cytoplasm,1,2,337.6719,44.3352,243.2656,481.2656,936.8474,28314
cytoplasm,2,2,271.5938,57.5665,177.2656,434.2656,796.9192,24085
cytoplasm,3,2,307.25,61.5389,200.2656,458.2656,872.4255,26367
