 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,118,107,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,129,118,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,115,115,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,111,108,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,122,121,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,132,101,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,138,107,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,107,115,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,117,100,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,142,120,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,109,122,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,109,100,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,139,99,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,135,124,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,124,138,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,126,87,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,151,110,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,101,128,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,94,119,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,104,91,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,149,118,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,152,133,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,117,143,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,91,111,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,134,86,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,147,97,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,145,137,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,131,142,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,103,135,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,93,126,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,96,105,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,108,85,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,156,94,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,166,107,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,118,152,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,86,118,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,119,73,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,164,115,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,159,130,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,157,138,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,111,148,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,98,141,1,1,1,red,none,0,1,0,1,0
43,42,null,Point,none,83,111,1,1,1,red,none,0,1,0,1,0
44,43,null,Point,none,100,84,1,1,1,red,none,0,1,0,1,0
45,44,null,Point,none,141,82,1,1,1,red,none,0,1,0,1,0
46,45,null,Point,none,149,89,1,1,1,red,none,0,1,0,1,0
47,46,null,Point,none,174,106,1,1,1,red,none,0,1,0,1,0
48,47,null,Point,none,149,151,1,1,1,red,none,0,1,0,1,0
49,48,null,Point,none,133,158,1,1,1,red,none,0,1,0,1,0
50,49,null,Point,none,106,142,1,1,1,red,none,0,1,0,1,0
51,50,null,Point,none,79,133,1,1,1,red,none,0,1,0,1,0
52,51,null,Point,none,77,96,1,1,1,red,none,0,1,0,1,0
53,52,null,Point,none,112,77,1,1,1,red,none,0,1,0,1,0
54,53,null,Point,none,133,68,1,1,1,red,none,0,1,0,1,0
55,54,null,Point,none,164,94,1,1,1,red,none,0,1,0,1,0
56,55,null,Point,none,169,100,1,1,1,red,none,0,1,0,1,0
57,56,null,Point,none,164,143,1,1,1,red,none,0,1,0,1,0
58,57,null,Point,none,123,163,1,1,1,red,none,0,1,0,1,0
59,58,null,Point,none,76,125,1,1,1,red,none,0,1,0,1,0
60,59,null,Point,none,82,87,1,1,1,red,none,0,1,0,1,0
61,60,null,Point,none,125,65,1,1,1,red,none,0,1,0,1,0
62,61,null,Point,none,173,122,1,1,1,red,none,0,1,0,1,0
63,62,null,Point,none,172,139,1,1,1,red,none,0,1,0,1,0
64,63,null,Point,none,157,147,1,1,1,red,none,0,1,0,1,0
65,64,null,Point,none,116,159,1,1,1,red,none,0,1,0,1,0
66,65,null,Point,none,95,148,1,1,1,red,none,0,1,0,1,0
67,66,null,Point,none,71,117,1,1,1,red,none,0,1,0,1,0
68,67,null,Point,none,74,103,1,1,1,red,none,0,1,0,1,0
69,68,null,Point,none,94,79,1,1,1,red,none,0,1,0,1,0
70,69,null,Point,none,148,70,1,1,1,red,none,0,1,0,1,0
71,70,null,Point,none,161,69,1,1,1,red,none,0,2,0,2,0
72,71,null,Point,none,182,106,1,1,1,red,none,0,1,0,1,0
73,72,null,Point,none,179,113,1,1,1,red,none,0,1,0,1,0
74,73,null,Point,none,151,160,1,1,1,red,none,0,1,0,1,0
75,74,null,Point,none,138,164,1,1,1,red,none,0,1,0,1,0
76,75,null,Point,none,99,155,1,1,1,red,none,0,1,0,1,0
77,76,null,Point,none,82,141,1,1,1,red,none,0,1,0,1,0
78,77,null,Point,none,67,137,1,1,1,red,none,0,2,0,2,0
79,78,null,Point,none,75,89,1,1,1,red,none,0,1,0,1,0
80,79,null,Point,none,101,64,1,1,1,red,none,0,1,0,1,0
81,80,null,Point,none,141,68,1,1,1,red,none,0,1,0,1,0
82,81,null,Point,none,161,88,1,1,1,red,none,0,1,0,1,0
83,82,null,Point,none,178,144,1,1,1,red,none,0,1,0,1,0
84,83,null,Point,none,171,154,1,1,1,red,none,0,1,0,1,0
85,84,null,Point,none,127,173,1,1,1,red,none,0,1,0,1,0
86,85,null,Point,none,120,170,1,1,1,red,none,0,1,0,1,0
87,86,null,Point,none,68,124,1,1,1,red,none,0,1,0,1,0
88,87,null,Point,none,108,63,1,1,1,red,none,0,1,0,1,0
89,88,null,Point,none,181,120,1,1,1,red,none,0,1,0,1,0
90,89,null,Point,none,179,136,1,1,1,red,none,0,1,0,1,0
91,90,null,Point,none,165,167,1,1,1,red,none,0,1,0,1,0
92,91,null,Point,none,103,169,1,1,1,red,none,0,2,0,2,0
93,92,null,Point,none,86,158,1,1,1,red,none,0,2,0,2,0
94,93,null,Point,none,63,116,1,1,1,red,none,0,1,0,1,0
95,94,null,Point,none,61,108,1,1,1,red,none,0,1,0,1,0
96,95,null,Point,none,124,58,1,1,1,red,none,0,2,0,2,0
97,96,null,Point,none,131,61,1,1,1,red,none,0,1,0,1,0
98,97,null,Point,none,154,66,1,1,1,red,none,0,2,0,2,0
99,98,null,Point,none,167,74,1,1,1,red,none,0,2,0,2,0
100,99,null,Point,none,181,150,1,1,1,red,none,0,1,0,1,0
101,100,null,Point,none,158,164,1,1,1,red,none,0,1,0,1,0
102,101,null,Point,none,140,172,1,1,1,red,none,0,1,0,1,0
103,102,null,Point,none,128,179,1,1,1,red,none,0,3,0,3,0
104,103,null,Point,none,94,161,1,1,1,red,none,0,2,0,2,0
105,104,null,Point,none,80,154,1,1,1,red,none,0,2,0,2,0
106,105,null,Point,none,63,130,1,1,1,red,none,0,1,0,1,0
107,106,null,Point,none,59,101,1,1,1,red,none,0,2,0,2,0
108,107,null,Point,none,86,67,1,1,1,red,none,0,3,0,3,0
109,108,null,Point,none,177,80,1,1,1,red,none,0,3,0,3,0
110,109,null,Point,none,186,92,1,1,1,red,none,0,2,0,2,0
111,110,null,Point,none,193,113,1,1,1,red,none,0,2,0,2,0
112,111,null,Point,none,189,146,1,1,1,red,none,0,2,0,2,0
113,112,null,Point,none,177,164,1,1,1,red,none,0,3,0,3,0
114,113,null,Point,none,113,179,1,1,1,red,none,0,4,0,4,0
115,114,null,Point,none,59,94,1,1,1,red,none,0,2,0,2,0
116,115,null,Point,none,68,75,1,1,1,red,none,0,4,0,4,0
117,116,null,Point,none,97,61,1,1,1,red,none,0,3,0,3,0
118,117,null,Point,none,145,58,1,1,1,red,none,0,3,0,3,0
119,118,null,Point,none,186,88,1,1,1,red,none,0,5,0,5,0
120,119,null,Point,none,194,102,1,1,1,red,none,0,5,0,5,0
121,120,null,Point,none,197,127,1,1,1,red,none,0,3,0,3,0
122,121,null,Point,none,171,168,1,1,1,red,none,0,3,0,3,0
123,122,null,Point,none,108,174,1,1,1,red,none,0,3,0,3,0
124,123,null,Point,none,89,164,1,1,1,red,none,0,3,0,3,0
125,124,null,Point,none,69,154,1,1,1,red,none,0,5,0,5,0
126,125,null,Point,none,61,145,1,1,1,red,none,0,5,0,5,0
127,126,null,Point,none,54,121,1,1,1,red,none,0,2,0,2,0
128,127,null,Point,none,52,113,1,1,1,red,none,0,4,0,4,0
129,128,null,Point,none,103,56,1,1,1,red,none,0,5,0,5,0
130,129,null,Point,none,125,53,1,1,1,red,none,0,5,0,5,0
131,130,null,Point,none,159,64,1,1,1,red,none,0,3,0,3,0
132,131,null,Point,none,170,69,1,1,1,red,none,0,5,0,5,0
133,132,null,Point,none,196,135,1,1,1,red,none,0,4,0,4,0
134,133,null,Point,none,194,142,1,1,1,red,none,0,4,0,4,0
135,134,null,Point,none,160,172,1,1,1,red,none,0,2,0,2,0
136,135,null,Point,none,147,179,1,1,1,red,none,0,4,0,4,0
137,136,null,Point,none,121,181,1,1,1,red,none,0,4,0,4,0
138,137,null,Point,none,92,169,1,1,1,red,none,0,5,0,5,0
139,138,null,Point,none,76,157,1,1,1,red,none,0,4,0,4,0
140,139,null,Point,none,55,92,1,1,1,red,none,0,5,0,5,0
141,140,null,Point,none,73,70,1,1,1,red,none,0,5,0,5,0
142,141,null,Point,none,90,62,1,1,1,red,none,0,4,0,4,0
143,142,null,Point,none,117,54,1,1,1,red,none,0,5,0,5,0
144,143,null,Point,none,133,54,1,1,1,red,none,0,5,0,5,0
