 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,130,106,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,136,114,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,118,117,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,138,105,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,125,100,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,127,129,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,128,93,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,143,111,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,141,120,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,119,125,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,111,121,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,109,104,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,144,89,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,107,93,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,123,87,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,153,102,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,155,121,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,148,133,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,134,132,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,112,129,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,126,79,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,140,82,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,127,145,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,104,119,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,99,106,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,154,87,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,158,108,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,156,129,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,98,93,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,108,85,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,118,81,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,161,90,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,162,123,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,155,137,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,141,144,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,113,145,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,99,138,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,128,72,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,135,67,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,148,74,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,135,148,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,119,150,1,1,1,red,none,0,1,0,1,0
43,42,null,Point,none,92,134,1,1,1,red,none,0,1,0,1,0
44,43,null,Point,none,85,121,1,1,1,red,none,0,1,0,1,0
45,44,null,Point,none,86,108,1,1,1,red,none,0,1,0,1,0
46,45,null,Point,none,162,74,1,1,1,red,none,0,1,0,1,0
47,46,null,Point,none,171,101,1,1,1,red,none,0,1,0,1,0
48,47,null,Point,none,169,109,1,1,1,red,none,0,1,0,1,0
49,48,null,Point,none,167,128,1,1,1,red,none,0,1,0,1,0
50,49,null,Point,none,96,146,1,1,1,red,none,0,1,0,1,0
51,50,null,Point,none,90,93,1,1,1,red,none,0,1,0,1,0
52,51,null,Point,none,96,79,1,1,1,red,none,0,1,0,1,0
