 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,138,105,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,136,121,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,154,105,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,144,120,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,127,115,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,129,101,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,143,98,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,158,112,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,134,128,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,120,121,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,155,97,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,142,127,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,120,113,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,162,103,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,156,121,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,113,98,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,129,94,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,148,92,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,167,97,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,163,117,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,138,134,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,120,136,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,107,128,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,101,116,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,122,90,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,160,82,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,171,104,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,163,125,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,154,136,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,112,134,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,100,124,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,100,108,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,140,83,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,166,86,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,179,91,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,175,110,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,146,134,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,128,148,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,119,144,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,107,93,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,180,126,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,98,138,1,1,1,red,none,0,1,0,1,0
43,42,null,Point,none,94,116,1,1,1,red,none,0,1,0,1,0
44,43,null,Point,none,145,76,1,1,1,red,none,0,1,0,1,0
45,44,null,Point,none,180,104,1,1,1,red,none,0,1,0,1,0
46,45,null,Point,none,162,136,1,1,1,red,none,0,1,0,1,0
47,46,null,Point,none,112,142,1,1,1,red,none,0,1,0,1,0
48,47,null,Point,none,90,137,1,1,1,red,none,0,1,0,1,0
49,48,null,Point,none,92,108,1,1,1,red,none,0,1,0,1,0
50,49,null,Point,none,126,83,1,1,1,red,none,0,1,0,1,0
51,50,null,Point,none,153,78,1,1,1,red,none,0,1,0,1,0
52,51,null,Point,none,168,78,1,1,1,red,none,0,1,0,1,0
53,52,null,Point,none,182,84,1,1,1,red,none,0,1,0,1,0
54,53,null,Point,none,187,90,1,1,1,red,none,0,1,0,1,0
55,54,null,Point,none,183,111,1,1,1,red,none,0,1,0,1,0
56,55,null,Point,none,188,127,1,1,1,red,none,0,1,0,1,0
57,56,null,Point,none,176,132,1,1,1,red,none,0,1,0,1,0
58,57,null,Point,none,157,143,1,1,1,red,none,0,1,0,1,0
59,58,null,Point,none,140,148,1,1,1,red,none,0,1,0,1,0
60,59,null,Point,none,127,157,1,1,1,red,none,0,1,0,1,0
61,60,null,Point,none,102,145,1,1,1,red,none,0,1,0,1,0
62,61,null,Point,none,88,130,1,1,1,red,none,0,1,0,1,0
63,62,null,Point,none,94,145,1,1,1,red,none,0,1,0,1,0
64,63,null,Point,none,82,137,1,1,1,red,none,0,1,0,1,0
65,64,null,Point,none,84,108,1,1,1,red,none,0,1,0,1,0
66,65,null,Point,none,130,76,1,1,1,red,none,0,1,0,1,0
67,66,null,Point,none,191,96,1,1,1,red,none,0,1,0,1,0
68,67,null,Point,none,183,134,1,1,1,red,none,0,1,0,1,0
69,68,null,Point,none,115,158,1,1,1,red,none,0,1,0,1,0
