 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,110,108,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,116,120,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,103,109,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,123,107,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,123,124,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,102,121,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,116,103,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,109,132,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,97,115,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,130,104,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,137,114,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,137,127,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,101,135,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,99,101,1,1,1,red,none,0,3,0,3,0
15,14,null,Point,none,112,97,1,1,1,red,none,0,3,0,3,0
16,15,null,Point,none,123,133,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,87,127,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,136,99,1,1,1,red,none,0,2,0,2,0
19,18,null,Point,none,114,144,1,1,1,red,none,0,2,0,2,0
20,19,null,Point,none,80,119,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,81,104,1,1,1,red,none,0,3,0,3,0
22,21,null,Point,none,117,92,1,1,1,red,none,0,4,0,4,0
23,22,null,Point,none,147,117,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,144,131,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,133,134,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,106,147,1,1,1,red,none,0,3,0,3,0
27,26,null,Point,none,104,96,1,1,1,red,none,0,4,0,4,0
28,27,null,Point,none,125,92,1,1,1,red,none,0,4,0,4,0
29,28,null,Point,none,78,135,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,79,127,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,133,93,1,1,1,red,none,0,4,0,4,0
32,31,null,Point,none,149,96,1,1,1,red,none,0,5,0,5,0
33,32,null,Point,none,150,107,1,1,1,red,none,0,2,0,2,0
34,33,null,Point,none,133,143,1,1,1,red,none,0,3,0,3,0
35,34,null,Point,none,114,150,1,1,1,red,none,0,4,0,4,0
36,35,null,Point,none,99,149,1,1,1,red,none,0,3,0,3,0
37,36,null,Point,none,73,120,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,73,105,1,1,1,red,none,0,4,0,4,0
39,38,null,Point,none,85,99,1,1,1,red,none,0,4,0,4,0
40,39,null,Point,none,153,114,1,1,1,red,none,0,2,0,2,0
41,40,null,Point,none,151,129,1,1,1,red,none,0,2,0,2,0
42,41,null,Point,none,147,136,1,1,1,red,none,0,3,0,3,0
43,42,null,Point,none,92,150,1,1,1,red,none,0,4,0,4,0
44,43,null,Point,none,74,140,1,1,1,red,none,0,2,0,2,0
45,44,null,Point,none,102,90,1,1,1,red,none,0,5,0,5,0
46,45,null,Point,none,115,86,1,1,1,red,none,0,6,0,6,0
47,46,null,Point,none,122,148,1,1,1,red,none,0,4,0,4,0
48,47,null,Point,none,106,152,1,1,1,red,none,0,4,0,4,0
49,48,null,Point,none,62,129,1,1,1,red,none,0,3,0,3,0
50,49,null,Point,none,95,89,1,1,1,red,none,0,6,0,6,0
51,50,null,Point,none,128,80,1,1,1,red,none,0,6,0,6,0
52,51,null,Point,none,154,91,1,1,1,red,none,0,6,0,6,0
53,52,null,Point,none,161,104,1,1,1,red,none,0,5,0,5,0
54,53,null,Point,none,153,134,1,1,1,red,none,0,4,0,4,0
55,54,null,Point,none,141,141,1,1,1,red,none,0,4,0,4,0
56,55,null,Point,none,91,157,1,1,1,red,none,0,6,0,6,0
57,56,null,Point,none,60,122,1,1,1,red,none,0,3,0,3,0
58,57,null,Point,none,67,104,1,1,1,red,none,0,5,0,5,0
59,58,null,Point,none,136,81,1,1,1,red,none,0,6,0,6,0
60,59,null,Point,none,146,89,1,1,1,red,none,0,6,0,6,0
61,60,null,Point,none,163,113,1,1,1,red,none,0,5,0,5,0
62,61,null,Point,none,159,131,1,1,1,red,none,0,5,0,5,0
63,62,null,Point,none,162,135,1,1,1,red,none,0,7,0,7,0
64,63,null,Point,none,119,154,1,1,1,red,none,0,5,0,5,0
65,64,null,Point,none,71,145,1,1,1,red,none,0,4,0,4,0
66,65,null,Point,none,59,141,1,1,1,red,none,0,6,0,6,0
67,66,null,Point,none,76,94,1,1,1,red,none,0,7,0,7,0
68,67,null,Point,none,144,146,1,1,1,red,none,0,6,0,6,0
69,68,null,Point,none,57,128,1,1,1,red,none,0,5,0,5,0
70,69,null,Point,none,64,100,1,1,1,red,none,0,7,0,7,0
71,70,null,Point,none,93,82,1,1,1,red,none,0,7,0,7,0
72,71,null,Point,none,118,73,1,1,1,red,none,0,7,0,7,0
73,72,null,Point,none,162,93,1,1,1,red,none,0,7,0,7,0
74,73,null,Point,none,167,100,1,1,1,red,none,0,7,0,7,0
75,74,null,Point,none,138,156,1,1,1,red,none,0,9,0,9,0
76,75,null,Point,none,78,161,1,1,1,red,none,0,8,0,8,0
77,76,null,Point,none,53,127,1,1,1,red,none,0,7,0,7,0
78,77,null,Point,none,56,113,1,1,1,red,none,0,7,0,7,0
79,78,null,Point,none,87,87,1,1,1,red,none,0,7,0,7,0
80,79,null,Point,none,133,74,1,1,1,red,none,0,7,0,7,0
81,80,null,Point,none,167,107,1,1,1,red,none,0,6,0,6,0
82,81,null,Point,none,173,119,1,1,1,red,none,0,9,0,9,0
83,82,null,Point,none,167,131,1,1,1,red,none,0,8,0,8,0
84,83,null,Point,none,158,142,1,1,1,red,none,0,8,0,8,0
85,84,null,Point,none,123,161,1,1,1,red,none,0,8,0,8,0
86,85,null,Point,none,103,170,1,1,1,red,none,0,9,0,9,0
87,86,null,Point,none,88,171,1,1,1,red,none,0,10,0,10,0
88,87,null,Point,none,60,147,1,1,1,red,none,0,8,0,8,0
89,88,null,Point,none,55,140,1,1,1,red,none,0,8,0,8,0
90,89,null,Point,none,140,75,1,1,1,red,none,0,8,0,8,0
91,90,null,Point,none,151,144,1,1,1,red,none,0,7,0,7,0
92,91,null,Point,none,118,165,1,1,1,red,none,0,8,0,8,0
93,92,null,Point,none,80,169,1,1,1,red,none,0,10,0,10,0
94,93,null,Point,none,51,131,1,1,1,red,none,0,9,0,9,0
95,94,null,Point,none,58,101,1,1,1,red,none,0,9,0,9,0
96,95,null,Point,none,57,96,1,1,1,red,none,0,10,0,10,0
97,96,null,Point,none,73,88,1,1,1,red,none,0,8,0,8,0
98,97,null,Point,none,111,73,1,1,1,red,none,0,8,0,8,0
99,98,null,Point,none,163,87,1,1,1,red,none,0,9,0,9,0
100,99,null,Point,none,146,154,1,1,1,red,none,0,10,0,10,0
101,100,null,Point,none,110,167,1,1,1,red,none,0,8,0,8,0
102,101,null,Point,none,103,72,1,1,1,red,none,0,9,0,9,0
103,102,null,Point,none,158,81,1,1,1,red,none,0,9,0,9,0
104,103,null,Point,none,97,76,1,1,1,red,none,0,8,0,8,0
105,104,null,Point,none,74,164,1,1,1,red,none,0,9,0,9,0
106,105,null,Point,none,80,84,1,1,1,red,none,0,8,0,8,0
107,106,null,Point,none,139,69,1,1,1,red,none,0,9,0,9,0
108,107,null,Point,none,172,127,1,1,1,red,none,0,10,0,10,0
109,108,null,Point,none,131,159,1,1,1,red,none,0,8,0,8,0
110,109,null,Point,none,148,75,1,1,1,red,none,0,8,0,8,0
111,110,null,Point,none,52,115,1,1,1,red,none,0,9,0,9,0
112,111,null,Point,none,175,111,1,1,1,red,none,0,10,0,10,0
113,112,null,Point,none,109,68,1,1,1,red,none,0,9,0,9,0
114,113,null,Point,none,63,153,1,1,1,red,none,0,9,0,9,0
115,114,null,Point,none,97,70,1,1,1,red,none,0,10,0,10,0
