 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,132,112,1,1,1,red,none,0,1,0,1,0
2,1,null,Point,none,140,115,1,1,1,red,none,0,1,0,1,0
3,2,null,Point,none,131,127,1,1,1,red,none,0,1,0,1,0
4,3,null,Point,none,126,119,1,1,1,red,none,0,1,0,1,0
5,4,null,Point,none,145,105,1,1,1,red,none,0,1,0,1,0
6,5,null,Point,none,140,133,1,1,1,red,none,0,1,0,1,0
7,6,null,Point,none,112,106,1,1,1,red,none,0,1,0,1,0
8,7,null,Point,none,134,101,1,1,1,red,none,0,1,0,1,0
9,8,null,Point,none,147,113,1,1,1,red,none,0,1,0,1,0
10,9,null,Point,none,153,123,1,1,1,red,none,0,1,0,1,0
11,10,null,Point,none,124,138,1,1,1,red,none,0,1,0,1,0
12,11,null,Point,none,113,127,1,1,1,red,none,0,1,0,1,0
13,12,null,Point,none,110,121,1,1,1,red,none,0,1,0,1,0
14,13,null,Point,none,150,99,1,1,1,red,none,0,1,0,1,0
15,14,null,Point,none,146,138,1,1,1,red,none,0,1,0,1,0
16,15,null,Point,none,137,140,1,1,1,red,none,0,1,0,1,0
17,16,null,Point,none,104,106,1,1,1,red,none,0,1,0,1,0
18,17,null,Point,none,110,99,1,1,1,red,none,0,1,0,1,0
19,18,null,Point,none,134,93,1,1,1,red,none,0,1,0,1,0
20,19,null,Point,none,160,126,1,1,1,red,none,0,1,0,1,0
21,20,null,Point,none,130,143,1,1,1,red,none,0,1,0,1,0
22,21,null,Point,none,116,141,1,1,1,red,none,0,1,0,1,0
23,22,null,Point,none,126,94,1,1,1,red,none,0,1,0,1,0
24,23,null,Point,none,159,135,1,1,1,red,none,0,1,0,1,0
25,24,null,Point,none,100,134,1,1,1,red,none,0,1,0,1,0
26,25,null,Point,none,97,126,1,1,1,red,none,0,1,0,1,0
27,26,null,Point,none,102,99,1,1,1,red,none,0,1,0,1,0
28,27,null,Point,none,155,93,1,1,1,red,none,0,1,0,1,0
29,28,null,Point,none,165,105,1,1,1,red,none,0,1,0,1,0
30,29,null,Point,none,167,131,1,1,1,red,none,0,1,0,1,0
31,30,null,Point,none,150,148,1,1,1,red,none,0,1,0,1,0
32,31,null,Point,none,136,148,1,1,1,red,none,0,1,0,1,0
33,32,null,Point,none,92,110,1,1,1,red,none,0,1,0,1,0
34,33,null,Point,none,102,91,1,1,1,red,none,0,1,0,1,0
35,34,null,Point,none,133,85,1,1,1,red,none,0,1,0,1,0
36,35,null,Point,none,140,88,1,1,1,red,none,0,1,0,1,0
37,36,null,Point,none,128,151,1,1,1,red,none,0,1,0,1,0
38,37,null,Point,none,121,155,1,1,1,red,none,0,1,0,1,0
39,38,null,Point,none,109,144,1,1,1,red,none,0,1,0,1,0
40,39,null,Point,none,92,132,1,1,1,red,none,0,1,0,1,0
41,40,null,Point,none,95,96,1,1,1,red,none,0,1,0,1,0
42,41,null,Point,none,113,83,1,1,1,red,none,0,1,0,1,0
