 ,Index,Name,Type,Group,X,Y,Width,Height,Points,Color,Fill,LWidth,Pos,C,Z,T
1,0,null,Point,none,96,107,1,1,1,red,none,0,9,0,9,0
2,1,null,Point,none,100,114,1,1,1,red,none,0,8,0,8,0
3,2,null,Point,none,89,104,1,1,1,red,none,0,10,0,10,0
4,3,null,Point,none,101,101,1,1,1,red,none,0,9,0,9,0
5,4,null,Point,none,85,116,1,1,1,red,none,0,9,0,9,0
6,5,null,Point,none,110,93,1,1,1,red,none,0,10,0,10,0
7,6,null,Point,none,115,115,1,1,1,red,none,0,7,0,7,0
8,7,null,Point,none,97,120,1,1,1,red,none,0,9,0,9,0
9,8,null,Point,none,83,109,1,1,1,red,none,0,9,0,9,0
10,9,null,Point,none,81,102,1,1,1,red,none,0,9,0,9,0
11,10,null,Point,none,117,95,1,1,1,red,none,0,9,0,9,0
12,11,null,Point,none,82,123,1,1,1,red,none,0,9,0,9,0
13,12,null,Point,none,86,97,1,1,1,red,none,0,10,0,10,0
14,13,null,Point,none,106,86,1,1,1,red,none,0,10,0,10,0
15,14,null,Point,none,123,102,1,1,1,red,none,0,8,0,8,0
16,15,null,Point,none,123,115,1,1,1,red,none,0,7,0,7,0
17,16,null,Point,none,111,122,1,1,1,red,none,0,7,0,7,0
18,17,null,Point,none,95,128,1,1,1,red,none,0,9,0,9,0
19,18,null,Point,none,75,122,1,1,1,red,none,0,9,0,9,0
20,19,null,Point,none,119,122,1,1,1,red,none,0,7,0,7,0
21,20,null,Point,none,73,100,1,1,1,red,none,0,9,0,9,0
22,21,null,Point,none,127,84,1,1,1,red,none,0,9,0,9,0
23,22,null,Point,none,72,135,1,1,1,red,none,0,9,0,9,0
24,23,null,Point,none,70,112,1,1,1,red,none,0,9,0,9,0
25,24,null,Point,none,78,94,1,1,1,red,none,0,9,0,9,0
26,25,null,Point,none,114,79,1,1,1,red,none,0,9,0,9,0
27,26,null,Point,none,131,90,1,1,1,red,none,0,9,0,9,0
28,27,null,Point,none,138,102,1,1,1,red,none,0,8,0,8,0
29,28,null,Point,none,137,118,1,1,1,red,none,0,8,0,8,0
30,29,null,Point,none,108,130,1,1,1,red,none,0,8,0,8,0
31,30,null,Point,none,92,135,1,1,1,red,none,0,9,0,9,0
32,31,null,Point,none,92,91,1,1,1,red,none,0,10,0,10,0
33,32,null,Point,none,101,80,1,1,1,red,none,0,10,0,10,0
34,33,null,Point,none,120,134,1,1,1,red,none,0,8,0,8,0
35,34,null,Point,none,63,131,1,1,1,red,none,0,9,0,9,0
36,35,null,Point,none,135,82,1,1,1,red,none,0,9,0,9,0
37,36,null,Point,none,138,88,1,1,1,red,none,0,9,0,9,0
38,37,null,Point,none,139,125,1,1,1,red,none,0,9,0,9,0
39,38,null,Point,none,84,137,1,1,1,red,none,0,9,0,9,0
40,39,null,Point,none,69,145,1,1,1,red,none,0,9,0,9,0
41,40,null,Point,none,61,115,1,1,1,red,none,0,9,0,9,0
42,41,null,Point,none,58,100,1,1,1,red,none,0,9,0,9,0
43,42,null,Point,none,62,93,1,1,1,red,none,0,9,0,9,0
44,43,null,Point,none,101,72,1,1,1,red,none,0,9,0,9,0
45,44,null,Point,none,121,73,1,1,1,red,none,0,9,0,9,0
46,45,null,Point,none,136,95,1,1,1,red,none,0,9,0,9,0
47,46,null,Point,none,137,110,1,1,1,red,none,0,8,0,8,0
48,47,null,Point,none,132,127,1,1,1,red,none,0,8,0,8,0
49,48,null,Point,none,106,138,1,1,1,red,none,0,9,0,9,0
50,49,null,Point,none,66,86,1,1,1,red,none,0,10,0,10,0
51,50,null,Point,none,142,81,1,1,1,red,none,0,10,0,10,0
52,51,null,Point,none,145,122,1,1,1,red,none,0,10,0,10,0
53,52,null,Point,none,66,139,1,1,1,red,none,0,9,0,9,0
54,53,null,Point,none,51,102,1,1,1,red,none,0,10,0,10,0
55,54,null,Point,none,75,79,1,1,1,red,none,0,10,0,10,0
56,55,null,Point,none,87,76,1,1,1,red,none,0,10,0,10,0
57,56,null,Point,none,112,144,1,1,1,red,none,0,9,0,9,0
58,57,null,Point,none,90,143,1,1,1,red,none,0,9,0,9,0
59,58,null,Point,none,62,124,1,1,1,red,none,0,9,0,9,0
60,59,null,Point,none,119,141,1,1,1,red,none,0,9,0,9,0
61,60,null,Point,none,114,71,1,1,1,red,none,0,9,0,9,0
62,61,null,Point,none,99,65,1,1,1,red,none,0,10,0,10,0
63,62,null,Point,none,56,107,1,1,1,red,none,0,9,0,9,0
64,63,null,Point,none,138,75,1,1,1,red,none,0,10,0,10,0
65,64,null,Point,none,120,66,1,1,1,red,none,0,9,0,9,0
66,65,null,Point,none,148,101,1,1,1,red,none,0,10,0,10,0
67,66,null,Point,none,133,138,1,1,1,red,none,0,10,0,10,0
68,67,null,Point,none,104,146,1,1,1,red,none,0,9,0,9,0
69,68,null,Point,none,150,118,1,1,1,red,none,0,11,0,11,0
70,69,null,Point,none,105,60,1,1,1,red,none,0,10,0,10,0
71,70,null,Point,none,95,155,1,1,1,red,none,0,10,0,10,0
72,71,null,Point,none,130,144,1,1,1,red,none,0,11,0,11,0
73,72,null,Point,none,80,74,1,1,1,red,none,0,10,0,10,0
74,73,null,Point,none,132,70,1,1,1,red,none,0,9,0,9,0
75,74,null,Point,none,49,124,1,1,1,red,none,0,10,0,10,0
76,75,null,Point,none,119,58,1,1,1,red,none,0,10,0,10,0
77,76,null,Point,none,83,154,1,1,1,red,none,0,10,0,10,0
78,77,null,Point,none,49,109,1,1,1,red,none,0,10,0,10,0
79,78,null,Point,none,48,96,1,1,1,red,none,0,12,0,12,0
80,79,null,Point,none,92,63,1,1,1,red,none,0,11,0,11,0
81,80,null,Point,none,76,156,1,1,1,red,none,0,11,0,11,0
82,81,null,Point,none,107,157,1,1,1,red,none,0,11,0,11,0
83,82,null,Point,none,137,62,1,1,1,red,none,0,12,0,12,0
84,83,null,Point,none,153,107,1,1,1,red,none,0,11,0,11,0
85,84,null,Point,none,137,140,1,1,1,red,none,0,13,0,13,0
86,85,null,Point,none,123,147,1,1,1,red,none,0,10,0,10,0
87,86,null,Point,none,100,160,1,1,1,red,none,0,11,0,11,0
88,87,null,Point,none,61,81,1,1,1,red,none,0,11,0,11,0
89,88,null,Point,none,65,75,1,1,1,red,none,0,12,0,12,0
90,89,null,Point,none,103,53,1,1,1,red,none,0,11,0,11,0
91,90,null,Point,none,124,54,1,1,1,red,none,0,11,0,11,0
92,91,null,Point,none,151,87,1,1,1,red,none,0,12,0,12,0
93,92,null,Point,none,54,139,1,1,1,red,none,0,11,0,11,0
94,93,null,Point,none,45,128,1,1,1,red,none,0,12,0,12,0
95,94,null,Point,none,43,112,1,1,1,red,none,0,12,0,12,0
96,95,null,Point,none,81,63,1,1,1,red,none,0,14,0,14,0
