 ,Area,Mean,StdDev,Min,Max,BX,BY,Width,Height,IntDen,RawIntDen
1,2.060,434.858,44.784,316,571,19.652,14.353,1.435,1.435,895.791,73491.000
2,2.060,800.107,204.280,457,1296,19.652,14.353,1.435,1.435,1648.190,135218.000
3,2.060,263.030,157.184,98,824,19.652,14.353,1.435,1.435,541.831,44452.000
4,2.060,452.828,65.432,329,629,21.087,16.781,1.435,1.435,932.810,76528.000
5,2.060,726.485,209.430,264,1189,21.087,16.781,1.435,1.435,1496.533,122776.000
6,2.060,356.296,110.580,176,719,21.087,16.781,1.435,1.435,733.956,60214.000
7,2.060,450.379,67.682,297,622,15.125,19.542,1.435,1.435,927.764,76114.000
8,2.060,649.142,207.365,299,1256,15.125,19.542,1.435,1.435,1337.209,109705.000
9,2.060,255.834,107.199,105,535,15.125,19.542,1.435,1.435,527.009,43236.000
10,2.060,191.899,33.160,128,277,16.781,10.378,1.435,1.435,395.306,32431.000
11,2.060,390.639,107.467,199,698,16.781,10.378,1.435,1.435,804.702,66018.000
12,2.060,154.479,68.191,97,401,16.781,10.378,1.435,1.435,318.222,26107.000
13,2.060,199.686,29.934,143,287,19.652,26.276,1.435,1.435,411.347,33747.000
14,2.060,396.183,104.128,216,766,19.652,26.276,1.435,1.435,816.123,66955.000
15,2.060,108.663,8.128,94,157,19.652,26.276,1.435,1.435,223.841,18364.000
16,2.060,170.071,22.517,125,235,10.047,17.113,1.435,1.435,350.340,28742.000
17,2.060,398.189,125.652,210,843,10.047,17.113,1.435,1.435,820.255,67294.000
18,2.060,126.408,30.895,99,288,10.047,17.113,1.435,1.435,260.396,21363.000
19,2.060,107.367,5.063,91,124,32.238,24.399,1.435,1.435,221.172,18145.000
20,2.060,115.249,6.559,101,133,32.238,24.399,1.435,1.435,237.408,19477.000
21,2.060,101.101,4.245,93,114,32.238,24.399,1.435,1.435,208.264,17086.000
