 ,Area,Mean,StdDev,Min,Max,IntDen,RawIntDen
1,2.060,344.834,79.265,212,594,710.346,58277.000
2,2.060,2156.207,777.632,727,4095,4441.707,364399.000
3,2.060,486.112,68.430,328,656,1001.374,82153.000
4,2.060,364.272,74.813,222,608,750.387,61562.000
5,2.060,2226.769,867.919,943,4095,4587.063,376324.000
6,2.060,485.467,65.553,322,686,1000.045,82044.000
7,2.060,437.172,113.161,195,743,900.557,73882.000
8,2.060,1928.550,699.927,972,4095,3972.743,325925.000
9,2.060,531.249,60.138,373,671,1094.352,89781.000
10,2.060,167.893,21.429,135,260,345.854,28374.000
11,2.060,835.580,259.404,337,1628,1721.264,141213.000
12,2.060,486.231,146.891,298,1106,1001.618,82173.000
13,2.060,166.213,26.278,118,252,342.393,28090.000
14,2.060,777.598,225.494,412,1642,1601.823,131414.000
15,2.060,413.822,60.638,280,539,852.459,69936.000
16,2.060,178.769,29.290,128,292,368.258,30212.000
17,2.060,1033.485,393.186,518,2472,2128.942,174659.000
18,2.060,518.988,52.302,408,649,1069.097,87709.000
19,2.060,118.686,7.700,100,141,244.490,20058.000
20,2.060,275.059,34.778,197,350,566.612,46485.000
21,2.060,112.834,6.189,94,127,232.435,19069.000
