measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,5,-1515.1406,1573.2761,-6029.5938,1734.4062,8760.3639,723997
microtubule,2,5,405.1875,2064.448,-4762.5938,4176.4062,10247.466,846898
microtubule,3,5,10189.4375,3420.8766,1042.4062,15733.4062,17824.3894,1473090
microtubule,1,3,-1279.8906,1597.8274,-5033,2728,7055.6432,583111
microtubule,2,3,428.2031,1656.8395,-4690,4554,8378.3911,692429
microtubule,3,3,1222.4531,1427.0287,-3076,3325,8993.4583,743261
microtubule,1,5,-1515.1406,1573.2761,-6029.5938,1734.4062,8760.3639,723997
microtubule,2,5,405.1875,2064.448,-4762.5938,4176.4062,10247.466,846898
microtubule,3,5,10189.4375,3420.8766,1042.4062,15733.4062,17824.3894,1473090
cytoplasm,1,5,2287.3281,1127.8637,170.4062,5675.4062,11704.9957,967355
cytoplasm,2,5,429.2969,614.4813,-1365.5938,1585.4062,10266.1363,848441
cytoplasm,3,5,-789.4844,940.3711,-2689.5938,1829.4062,9322.3121,770439
cytoplasm,1,3,-1724.4062,1746.2395,-3749,5844,6711.4103,554662
cytoplasm,2,3,-2431.9844,1249.374,-4195,1934,6163.4618,509377
cytoplasm,3,3,-3884.7031,1478.6875,-5686,-369,5038.4764,416403
cytoplasm,1,5,2287.3281,1127.8637,170.4062,5675.4062,11704.9957,967355
cytoplasm,2,5,429.2969,614.4813,-1365.5938,1585.4062,10266.1363,848441
cytoplasm,3,5,-789.4844,940.3711,-2689.5938,1829.4062,9322.3121,770439
