measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,5,42360.1094,6904.9509,29034.9375,53647.9375,33003.513,2727563
microtubule,2,5,50404.2188,10474.2259,30318.9375,65276.9375,39232.8714,3242386
microtubule,3,5,45635.75,6504.217,33311.9375,61945.9375,35540.1691,2937204
microtubule,1,3,16243.2812,2052.4335,11303.7812,20077.7812,12694.3523,1049120
microtubule,2,3,21226.5312,4498.3474,13253.7812,31121.7812,16553.3811,1368048
microtubule,3,3,20478.2031,4528.0081,14760.7812,29798.7812,15973.8758,1320155
microtubule,1,5,42360.1094,6904.9509,29034.9375,53647.9375,33003.513,2727563
microtubule,2,5,50404.2188,10474.2259,30318.9375,65276.9375,39232.8714,3242386
microtubule,3,5,45635.75,6504.217,33311.9375,61945.9375,35540.1691,2937204
cytoplasm,1,5,6465.9531,1134.3919,4379.9375,8833.9375,5207.0778,430337
cytoplasm,2,5,6992.8906,1456.5734,4447.9375,11175.9375,5615.1382,464061
cytoplasm,3,5,6527.1875,1237.0707,4195.9375,9178.9375,5254.4977,434256
cytoplasm,1,3,8006.2969,1726.508,5850.7812,13538.7812,6315.6314,521953
cytoplasm,2,3,10171.75,2694.2965,6513.7812,20121.7812,7992.5584,660542
cytoplasm,3,3,13990.125,4544.0385,6892.7812,26987.7812,10949.508,904918
cytoplasm,1,5,6465.9531,1134.3919,4379.9375,8833.9375,5207.0778,430337
cytoplasm,2,5,6992.8906,1456.5734,4447.9375,11175.9375,5615.1382,464061
cytoplasm,3,5,6527.1875,1237.0707,4195.9375,9178.9375,5254.4977,434256
