measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,7,39943.6562,12297.389,20015.9844,65331.9844,31089.5833,2569387
microtubule,2,7,32620.4219,6282.392,18499.9844,47495.9844,25418.4705,2100700
microtubule,3,7,33753.7344,4908.5724,21205.9844,43559.9844,26296.1077,2173232
microtubule,1,3,27329.25,6463.6274,16945.7656,42497.7656,21276.2411,1758367
microtubule,2,3,22413.0625,2971.9755,18074.7656,28960.7656,17469.1454,1443731
microtubule,3,3,20857.0625,2520.6583,16772.7656,29223.7656,16264.179,1344147
microtubule,1,7,39943.6562,12297.389,20015.9844,65331.9844,31089.5833,2569387
microtubule,2,7,32620.4219,6282.392,18499.9844,47495.9844,25418.4705,2100700
microtubule,3,7,33753.7344,4908.5724,21205.9844,43559.9844,26296.1077,2173232
cytoplasm,1,7,9717.2031,1058.8088,8063.9844,12272.9844,7682.2176,634894
cytoplasm,2,7,8338.1562,1753.2972,5510.9844,12372.9844,6614.2836,546635
cytoplasm,3,7,9277.9688,1798.4118,6597.9844,14451.9844,7342.0744,606783
cytoplasm,1,3,16196.4688,2232.8343,12091.7656,22260.7656,12655.0152,1045869
cytoplasm,2,3,11303.75,1080.5868,9214.7656,13846.7656,8866.0937,732735
cytoplasm,3,3,12946.125,2390.8387,9980.7656,20522.7656,10137.9489,837847
cytoplasm,1,7,9717.2031,1058.8088,8063.9844,12272.9844,7682.2176,634894
cytoplasm,2,7,8338.1562,1753.2972,5510.9844,12372.9844,6614.2836,546635
cytoplasm,3,7,9277.9688,1798.4118,6597.9844,14451.9844,7342.0744,606783
