measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2768.7656,691.1328,1407.9375,3756.9375,2259.8284,185397
microtubule,2,3,2516.1719,748.3732,838.9375,3555.9375,2062.7789,169231
microtubule,3,3,2340.5156,236.6133,1806.9375,2792.9375,1925.7487,157989
microtubule,1,4,22.9062,17.7321,-0.9688,86.0312,95.0752,7800
microtubule,2,4,19.8906,11.5372,-0.9688,54.0312,92.7227,7607
microtubule,3,4,18.2656,10.1383,3.0312,46.0312,91.4551,7503
microtubule,1,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
microtubule,2,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
microtubule,3,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
cytoplasm,1,3,230.7188,51.4817,133.9375,371.9375,279.8868,22962
cytoplasm,2,3,355.7188,86.8314,190.9375,561.9375,377.3999,30962
cytoplasm,3,3,127.5312,44.1123,41.9375,256.9375,199.3898,16358
cytoplasm,1,4,11.6875,7.9527,-1.9688,36.0312,86.3234,7082
cytoplasm,2,4,18.25,16.5256,1.0312,86.0312,91.4429,7502
cytoplasm,3,4,7.9531,9.012,-1.9688,49.0312,83.4102,6843
cytoplasm,1,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
cytoplasm,2,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
cytoplasm,3,2,3883.1406,0,3883.1406,3883.1406,3194.5276,262080
