measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3753.875,371.7556,2764.6719,3988.6719,8174.4353,247053
microtubule,2,3,2942.0781,867.2038,1056.6719,3988.6719,6455.3597,195098
microtubule,3,3,2755.0781,518.6374,1859.6719,3764.6719,6059.3651,183130
microtubule,1,1,2846.9844,727.5983,1402.1562,3995.1562,6240.256,188597
microtubule,2,1,35.0312,29.0066,7.1562,170.1562,285.6137,8632
microtubule,3,1,29.6562,16.3377,7.1562,83.1562,274.2315,8288
microtubule,1,2,17.5,10.5721,1.9062,46.9062,268.0772,8102
microtubule,2,2,10.0156,8.6062,-10.0938,34.9062,252.2281,7623
microtubule,3,2,3985.9062,0,3985.9062,3985.9062,8671.6454,262080
cytoplasm,1,3,2349.0781,177.6097,2022.6719,2679.6719,5199.6123,157146
cytoplasm,2,3,1939.1094,153.2463,1608.6719,2177.6719,4331.4551,130908
cytoplasm,3,3,2601.25,118.8373,2320.6719,2911.6719,5733.6159,173285
cytoplasm,1,1,2374.9062,221.8401,1847.1562,2790.1562,5240.5749,158384
cytoplasm,2,1,15.2031,9.4725,-1.8438,39.1562,243.6253,7363
cytoplasm,3,1,16.9531,11.3769,0.1562,50.1562,247.3312,7475
cytoplasm,1,2,3.8906,8.9576,-11.0938,25.9062,239.2577,7231
cytoplasm,2,2,11.6406,11.0629,-5.0938,42.9062,255.6693,7727
cytoplasm,3,2,2346.3125,177.6097,2019.9062,2676.9062,5199.6123,157146
