measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,2406.8125,417.887,1376.1719,2933.1719,5354.6947,161833
microtubule,2,3,2324.4531,526.3971,1391.1719,3202.1719,5180.289,156562
microtubule,3,3,1978.75,632.9905,768.1719,3160.1719,4448.2219,134437
microtubule,1,1,25.2031,11.1624,4.3906,56.3906,266.4228,8052
microtubule,2,1,23.0625,10.8043,-1.6094,52.3906,261.8898,7915
microtubule,3,1,20.9688,12.412,4.3906,60.3906,257.456,7781
microtubule,1,2,1582.5156,58.4382,1418.1719,1725.1719,3571.0317,107926
microtubule,2,2,1719.2656,89.0339,1551.1719,1889.1719,3860.616,116678
microtubule,3,2,1462.2969,148.6201,1146.1719,1706.1719,3316.4544,100232
cytoplasm,1,3,499.7344,60.0951,400.1719,703.1719,1316.2319,39780
cytoplasm,2,3,517.25,116.4018,328.1719,932.1719,1353.3233,40901
cytoplasm,3,3,716.6719,258.6061,311.1719,1182.1719,1775.6226,53664
cytoplasm,1,1,25.0312,8.1637,7.3906,39.3906,266.0588,8041
cytoplasm,2,1,38.3906,13.3595,19.3906,66.3906,294.3489,8896
cytoplasm,3,1,17.5,9.4434,0.3906,43.3906,250.1105,7559
cytoplasm,1,2,1738.2812,102.7639,1558.1719,1961.1719,3900.8838,117895
cytoplasm,2,2,1327.8438,155.2727,965.1719,1601.1719,3031.734,91627
cytoplasm,3,2,1591.4531,107.4168,1356.1719,1774.1719,3589.9579,108498
