measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,3267.4531,416.9039,2388.4062,3927.4062,7274.1168,219843
microtubule,2,3,3431.1562,539.5753,1796.4062,3927.4062,7620.7775,230320
microtubule,3,3,2430.7188,602.7276,1018.4062,3393.4062,5502.2331,166292
microtubule,1,1,26.75,11.6037,5.3906,48.3906,267.5809,8087
microtubule,2,1,88.3125,98.3599,-1.6094,407.3906,397.9467,12027
microtubule,3,1,25.7656,12.8093,2.3906,59.3906,265.4963,8024
microtubule,1,2,769.1094,63.9643,595.375,914.375,1865.0589,56367
microtubule,2,2,799.8906,53.8449,686.375,898.375,1930.2418,58337
microtubule,3,2,681.8281,47.0842,576.375,792.375,1680.2306,50781
cytoplasm,1,3,554.6719,83.9802,352.4062,779.4062,1529.4826,46225
cytoplasm,2,3,255.5156,53.1906,163.4062,426.4062,895.984,27079
cytoplasm,3,3,342.5156,90.8798,203.4062,530.4062,1080.2167,32647
cytoplasm,1,1,25.0312,11.7478,7.3906,67.3906,263.9412,7977
cytoplasm,2,1,25.5156,12.8193,-0.6094,66.3906,264.9669,8008
cytoplasm,3,1,33.4844,14.7634,8.3906,76.3906,281.8417,8518
cytoplasm,1,2,661.1406,48.0578,579.375,763.375,1636.4223,49457
cytoplasm,2,2,673.2969,51.1491,530.375,771.375,1662.1646,50235
cytoplasm,3,2,592.1406,66.3717,459.375,734.375,1490.3067,45041
