measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1682.8906,252.2291,954.9219,2098.9219,3779.8818,114238
microtubule,2,3,1520.5781,369.4937,615.9219,2066.9219,3436.1659,103850
microtubule,3,3,1680.3594,290.6297,797.9219,2151.9219,3774.5216,114076
microtubule,1,1,164.4531,60.1883,83.4844,474.4844,558.985,16894
microtubule,2,1,133.1719,60.749,34.4844,329.4844,492.7432,14892
microtubule,3,1,149.3281,38.2769,72.4844,233.4844,526.956,15926
microtubule,1,2,585.8281,37.8381,493.5625,670.5625,1457.4836,44049
microtubule,2,2,646.4375,37.7277,546.5625,712.5625,1585.8311,47928
microtubule,3,2,608.5625,39.3289,523.5625,704.5625,1505.6263,45504
cytoplasm,1,3,169.3125,32.4128,122.9219,267.9219,574.7016,17369
cytoplasm,2,3,134.0469,28.8716,76.9219,197.9219,500.0225,15112
cytoplasm,3,3,101.7969,17.6451,64.9219,135.9219,431.7294,13048
cytoplasm,1,1,73.0156,27.134,18.4844,136.4844,365.3553,11042
cytoplasm,2,1,77.6875,24.9934,26.4844,138.4844,375.2485,11341
cytoplasm,3,1,64.7031,30.6281,26.4844,136.4844,347.7526,10510
cytoplasm,1,2,522.1562,30.4348,459.5625,591.5625,1322.6509,39974
cytoplasm,2,2,444.0781,39.3628,366.5625,518.5625,1157.3113,34977
cytoplasm,3,2,383.625,50.7458,288.5625,480.5625,1029.2947,31108
