measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1328.3125,256.0731,864.0938,1849.0938,3035.0097,91726
microtubule,2,3,934.7344,280.1874,367.0938,1387.0938,2201.5616,66537
microtubule,3,3,828.6562,121.7911,542.0938,1039.0938,1976.9287,59748
microtubule,1,1,81.2188,22.0424,45.2812,137.2812,385.2741,11644
microtubule,2,1,121.7656,34.4448,42.2812,180.2812,471.1369,14239
microtubule,3,1,85.9844,29.8135,30.2812,160.2812,395.3659,11949
microtubule,1,2,3725.4844,163.2967,3365.2969,3983.2969,8125.697,245580
microtubule,2,2,3714.7812,178.8568,3413.2969,3983.2969,8103.0319,244895
microtubule,3,2,3572.8594,253.353,3164.2969,3983.2969,7802.4956,235812
cytoplasm,1,3,210.5469,42.1569,133.0938,313.0938,668.0092,20189
cytoplasm,2,3,235.0156,32.8418,158.0938,304.0938,719.8247,21755
cytoplasm,3,3,283.3125,50.8157,189.0938,405.0938,822.099,24846
cytoplasm,1,1,113.875,47.9238,42.2812,283.2812,454.4276,13734
cytoplasm,2,1,76.8438,33.8947,32.2812,189.2812,376.0095,11364
cytoplasm,3,1,86.9844,23.9614,50.2812,160.2812,397.4835,12013
cytoplasm,1,2,3195.25,457.1622,2343.2969,3983.2969,7002.8632,211645
cytoplasm,2,2,2533,256.1935,1896.2969,2941.2969,5600.4707,169261
cytoplasm,3,2,3579.7969,310.9833,3012.2969,3983.2969,7817.1865,236256
