measurement,line,channel,Mean,StdDev,Min,Max,IntDen,RawIntDen
microtubule,1,3,1160,135.0735,835.4531,1394.4531,2673.5919,80803
microtubule,2,3,1126.3281,227.9292,612.4531,1677.4531,2602.2877,78648
microtubule,3,3,851.1719,252.8256,396.4531,1316.4531,2019.6119,61038
microtubule,1,1,88.0156,33.9495,14.4531,158.4531,399.3033,12068
microtubule,2,1,69.5,27.744,20.4531,132.4531,360.0943,10883
microtubule,3,1,51.3438,20.8944,16.4531,106.4531,321.6463,9721
microtubule,1,2,219.1562,22.3126,181.2344,268.2344,683.8251,20667
microtubule,2,2,195.0938,21.6163,137.2344,247.2344,632.87,19127
microtubule,3,2,158.0781,19.7936,109.2344,202.2344,554.485,16758
cytoplasm,1,3,179.5156,68.5387,82.4531,357.4531,597.3006,18052
cytoplasm,2,3,288.3281,66.482,179.4531,443.4531,827.7239,25016
cytoplasm,3,3,262.7969,65.1424,174.4531,431.4531,773.6585,23382
cytoplasm,1,1,16.4688,8.7187,-1.5469,40.4531,247.7944,7489
cytoplasm,2,1,65.5312,20.2683,29.4531,125.4531,351.69,10629
cytoplasm,3,1,49.3438,15.9026,17.4531,92.4531,317.4111,9593
cytoplasm,1,2,117.6406,17.4754,88.2344,154.2344,468.8538,14170
cytoplasm,2,2,176.3281,17.2256,143.2344,218.2344,593.1315,17926
cytoplasm,3,2,179.2188,26.7513,134.2344,277.2344,599.2528,18111
